x,y,condition
7391.7086699559295,5898348.062879158,1
48438.98425220631,5946210.417665697,1
-2768.5922157477034,5946243.481186266,1
41644.498119060125,5915993.173377281,1
53467.799847680406,5953068.035331903,1
27498.050259855372,5920301.425629703,1
-27726.875556510087,5915808.297404685,1
20945.954973370943,5891589.327349873,1
4193.474942903995,5951444.352770353,1
-5279.9270813692565,5925760.7688129395,1
73192.64481679013,5940565.116994287,1
-733.0367498109699,5960044.800148301,1
43366.14451524173,5911476.929040237,1
-7097.866105603243,5916422.779544079,1
46273.27606292398,5948464.431666944,1
20243.184649549105,5898367.070582676,1
37491.524608397565,5930780.137080137,1
58174.225190423254,5907565.613245511,1
4526.910975552775,5955550.550725855,1
-30592.65985844565,5918056.1436587395,1
-24191.620751533075,5949441.734115396,1
-15429.485916029706,5956820.100245356,1
47461.470704570034,5935422.45024488,1
17866.83056405495,5911506.005320608,1
65344.39870400532,5942219.5175468465,1
6022.667741200887,5951995.542826238,1
22676.897468893585,5903774.564631005,1
-10360.229563064931,5944527.756587748,1
70115.52163585328,5958856.408488026,1
-14691.25121846405,5924314.9105763445,1
33019.417879257584,5923430.095326856,1
51425.7302935014,5909090.653719458,1
21686.164110943326,5961709.827312028,1
7077.424638217475,5919226.199209005,1
75585.06888870441,5948181.86590314,1
-36288.682904314366,5936699.994829888,1
20101.10336820819,5982404.720715892,1
71336.87524559168,5960605.177154873,1
14241.96778574244,5984758.291452431,1
43424.36253247116,5972938.8300973,1
-27605.05473789193,5911831.608148182,1
18172.991544791934,5925461.49983444,1
55813.44084391362,5917200.607990432,1
55721.67594719108,5953587.574310787,1
75725.80509971522,5971525.284504943,1
73583.6814355893,5958091.5533781685,1
37296.05368966269,5938566.25886392,1
-18031.663101750863,5920304.048714654,1
10379.139151016192,5895232.926490314,1
-18306.831561666128,5911942.4006585535,1
53472.41335198152,5965235.181526721,1
78943.78633457597,5966269.330249842,1
-5170.728221393423,5966877.960551673,1
-7982.642483632124,5911890.225463982,1
50930.79994519794,5956846.519439946,1
6881.566307717774,5957584.824442503,1
24472.19908979503,5943412.187189758,1
19461.361999708723,5901268.794453894,1
11551.875096121177,5966449.304823163,1
-25580.88767970931,5940415.317107687,1
-19875.71325911893,5922236.0257942155,1
-13558.45363917631,5893056.20842777,1
38045.22798285511,5902776.388224615,1
8857.38149584076,5945231.104411326,1
58561.75143205677,5938281.5625928305,1
19186.424660244113,5974646.665603249,1
23493.84554651691,5985088.019401689,1
14666.162908862345,5931881.23959267,1
35187.29192829915,5921432.107849565,1
-21891.01896781831,5938501.564251238,1
4337.456731064245,5952111.486412506,1
51696.32637724685,5956586.083809674,1
32997.909730454936,5982716.408972817,1
-23646.67826859244,5954830.23863154,1
12812.348757314452,5904805.475242844,1
21927.978332580125,5989965.2534494875,1
33368.4474911305,5956639.575399631,1
72241.47147456731,5962599.555072816,1
68293.30770929999,5933795.468481731,1
50837.43653543352,5967504.397357576,1
25101.64271755595,5937523.869766149,1
-7303.950297691743,5896040.2082823375,1
72478.48246128211,5954397.3859939175,1
15621.314170735262,5930354.007138835,1
-27352.181886322767,5934142.222068452,1
38052.617816539976,5981124.713844427,1
24416.895465883747,5930305.166919004,1
13119.291656533736,5984818.9944266025,1
